Behaviour,Actor,Receiver,T_start,T_stop
AC,0x0009,0x003F,2020-02-11T12:10:50.546143Z,2020-02-11T12:10:56.171177Z
CR,0x0009,0x003F,2020-02-11T12:11:17.921337Z,2020-02-11T12:11:19.296281Z
AC,0x0009,0x001B,2020-02-11T12:12:13.421643Z,2020-02-11T12:12:13.796575Z
W,0x0009,,2020-02-11T12:12:20.921689Z,2020-02-11T12:12:24.171623Z
SG,0x0009,,2020-02-11T12:12:30.921740Z,2020-02-11T12:12:39.296710Z
SG,0x0009,,2020-02-11T12:12:44.296739Z,2020-02-11T12:12:51.046778Z
W,0x0009,,2020-02-11T12:12:56.921819Z,2020-02-11T12:13:01.046832Z
W,0x0009,,2020-02-11T12:13:05.296851Z,2020-02-11T12:13:06.671925Z
W,0x0009,,2020-02-11T12:13:39.297029Z,2020-02-11T12:13:46.422059Z
W,0x0009,,2020-02-11T12:13:51.297077Z,2020-02-11T12:14:06.922185Z
W,0x0009,,2020-02-11T12:15:27.422685Z,2020-02-11T12:15:31.547707Z
